2021-03-23T12:09:02.585Z,SANAE-1,071366257,Boot:1.1.1 Bulk1:1.6.19 Bulk2:1.6.18,Remote,135,255,No Frame,AUPC Disabled,On,+19,+36,No Faults,Rx Traffic OK,Tx Traffic OK,No Fault,No Faults,09.8 dB,+001.5 kHz,0.0 x 10^-9,Online,==47,344
2021-03-23T12:09:22.452Z,SANAE-1,071366257,Boot:1.1.1 Bulk1:1.6.19 Bulk2:1.6.18,Remote,135,255,No Frame,AUPC Disabled,On,+20,+35,No Faults,Rx Traffic OK,Tx Traffic OK,No Fault,No Faults,09.9 dB,+001.5 kHz,0.0 x 10^-9,Online,==47,343
